"parent_taxon","taxon","abundance"
"Ochrophyta","Bacillariophyta",2311316.7338805
"Chlorophyta","Ostreococcus",785493.455280289
"Chlorophyta","Micromonas",598729.941455875
"Ochrophyta","Ochrophyta",593824.421602447
"Ochrophyta","Chaetoceros",514866.260389273
"Dinoflagellata","Dinophyceae",503995.475662521
"Chlorophyta","Chlorophyta",419277.842841203
"Dinoflagellata","Gonyaulacales",318745.484630565
"Dinoflagellata","Gymnodiniales",284857.871182242
"Dinoflagellata","Peridiniales",268939.730016621
"Ochrophyta","Thalassiosira",260665.47792631
"Ciliophora","Choreotrichida",243268.105993389
"Ochrophyta","Pseudo-nitzschia",201128.151124236
"Haptophyta","Hacrobia",194269.767462071
"Dinoflagellata","Suessiales",189425.358786392
"Dinoflagellata","Dinoflagellata",167179.994264192
"Cercozoa","Rhizaria",126756.928493158
"Unclassified","Stramenopiles",115398.527345267
"Ciliophora","Spirotrichea",111414.657237486
"Ochrophyta","Skeletonema",103651.453394882
"Cryptophyta","Hacrobia",91916.6083367081
"Ciliophora","Ciliophora",76298.8273398464
"Choanoflagellida","Opisthokonta",67264.9726649138
"Dinoflagellata","Symbiodinium",65832.7427106369
"Dinoflagellata","Alexandrium",58781.924394889
"Sagenista","Sagenista",43859.4510972237
"Unclassified","Eukaryota",43507.940980859
"Ciliophora","Tintinnida",38319.8475257274
"Dinoflagellata","Scrippsiella",37482.6533319481
"Lobosa","Amoebozoa",36045.6032818663
"Opalozoa","Stramenopiles",31087.7820647547
"Glaucophyta","Glaucophyta",19423.0855737724
"Foraminifera","Rhizaria",12723.3457338008
"Discoba","Eukaryota",11197.7328024749
"Conosa","Amoebozoa",10790.2935981777
"Rhodophyta","Rhodophyta",9767.58649682008
"Discosea","Amoebozoa",8699.1914462623
"Apicomplexa","Eukaryota",8573.7018806924
"Unclassified","Hacrobia",6734.05688024681
"Dinoflagellata","Syndiniales",3293.59788424503
"Sagenista","Stramenopiles",2891.22264628093
"Fungi","Opisthokonta",2222.61459153944
"Unclassified","Rhizaria",91.6713848616128
"Unclassified","Amoebozoa",65.0122517625769
"Perkinsea","Eukaryota",22.4995687027404
"Unclassified","Opisthokonta",13.6367044800035
